ts,side,states,count,amp_x,amp_y,flips,open_ratio,conf
1770033167.798767,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.026809,0.041181,1,0.928571,0.710856
1770033167.893545,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.039958,1,0.928571,0.750669
1770033167.991246,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.043912,1,0.928571,0.750669
1770033168.092120,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.051209,2,0.928571,0.750669
1770033168.200883,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.051209,3,0.928571,0.750669
1770033168.304864,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.035296,0.051209,3,0.928571,0.761774
1770033168.395100,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.035296,0.047649,3,1.000000,0.761774
1770033168.501821,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033640,0.041022,4,1.000000,0.751839
1770033168.604470,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.036993,0.035329,4,1.000000,0.771957
1770033168.701343,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033749,0.031671,5,1.000000,0.752494
1770033168.801150,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.029930,0.029658,5,1.000000,0.729580
1770033168.904412,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.028372,0.024483,6,1.000000,0.720231
1770033169.004586,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.027034,0.016999,6,1.000000,0.712204
